plot,disturbance.human,disturbance.natural,disturbance.animal,,,,,,,
1002,3,0,5,,,,,,,
1003,0,0,5,,,,,,,
1004,0,0,5,,,,,,,
1005,0,0,2,,,,,,,
1006,0,0,7,,,,,,,
1008,2,0,6,,,,,,,
1009,2,0,3,,,,,,,
1010,0,0,6,,,,,,,
1012,2,0,5,,,,,,,
1013,3,0,6,,,,,,,
1014,3,0,6,,,,,,,
1015,0,0,7,,,,,,,
1017,7,0,4,,,,,,,
1018,2,0,6,,,,,,,
1019,5,0,6,,,,,,,
1021,0,0,4,,,,,,,
1022,2,0,6,,,,,,,
1024,6,2,6,,,,,,,
1025,2,0,6,,,,,,,
1026,0,0,7,,,,,,,
1028,2,0,6,,,,,,,
1030,6,0,7,,,,,,,
1031,5,4,6,,,,,,,
1033,5,2,5,,,,,,,
1034,0,0,5,,,,,,,
1035,3,0,4,,,,,,,
1038,4,0,6,,,,,,,
1039,3,0,4,,,,,,,
1040,6,4,5,,,,,,,
1041,0,0,5,,,,,,,
1043,0,0,3,,,,,,,
1044,0,2,7,,,,,,,
1045,0,0,4,,,,,,,
1047,0,0,4,,,,,,,
1048,2,0,5,,,,,,,
1050,2,2,5,,,,,,,
1051,0,0,7,,,,,,,
1052,3,6,6,,,,,,,
1053,2,0,6,,,,,,,
1054,2,0,4,,,,,,,
1055,6,0,5,,,,,,,
1057,0,0,5,,,,,,,
1058,5,2,4,,,,,,,
1060,0,0,5,,,,,,,
1061,0,0,6,,,,,,,
1064,0,0,7,,,,,,,
1065,0,0,5,,,,,,,
1066,0,0,4,,,,,,,
1067,2,0,6,,,,,,,
1068,0,0,5,,,,,,,
1069,0,0,4,,,,,,,
1070,0,0,5,,,,,,,
1071,2,0,5,,,,,,,
1072,6,0,7,,,,,,,
1073,2,0,5,,,,,,,
1074,4,4,2,,,,,,,
1075,2,0,5,,,,,,,
1077,2,0,4,,,,,,,
1080,0,0,6,,,,,,,
1081,3,0,4,,,,,,,
1082,0,0,4,,,,,,,
1083,0,0,6,,,,,,,
1086,0,0,6,,,,,,,
1087,4,0,4,,,,,,,
1089,0,2,4,,,,,,,
1090,0,0,6,,,,,,,
1091,2,0,7,,,,,,,
1092,0,0,6,,,,,,,
1093,0,0,6,,,,,,,
1094,0,0,6,,,,,,,
1097,0,0,4,,,,,,,
1098,2,0,5,,,,,,,
1099,5,0,5,,,,,,,
1100,0,0,4,,,,,,,
1136,0,0,7,,,,,,,
1376,5,0,6,,,,,,,
1388,7,0,7,,,,,,,
3362,0,0,5,,,,,,,
3364,2,0,6,,,,,,,
3365,2,0,5,,,,,,,
3367,0,0,4,,,,,,,
3368,0,0,5,,,,,,,
3369,0,0,6,,,,,,,
3370,0,0,2,,,,,,,
3376,0,0,4,,,,,,,
3377,2,4,2,,,,,,,
3381,6,0,4,,,,,,,
3385,0,0,5,,,,,,,
3386,4,0,6,,,,,,,
3389,0,2,5,,,,,,,
3396,3,0,7,,,,,,,
3409,0,0,2,,,,,,,
3420,5,0,4,,,,,,,
3484,0,0,7,,,,,,,
3596,2,0,7,,,,,,,
3668,0,0,6,,,,,,,
3732,3,0,7,,,,,,,
3980,6,0,0,,,,,,,
1101,2,2,4,,,,,,,
1102,2,4,5,,,,,,,
1103,2,0,4,,,,,,,
1104,0,0,6,,,,,,,
1105,0,3,5,,,,,,,
1110,2,0,2,,,,,,,
1111,2,0,6,,,,,,,
1112,0,0,5,,,,,,,
1113,0,0,4,,,,,,,
1114,2,0,4,,,,,,,
1115,0,0,3,,,,,,,
1117,2,0,2,,,,,,,
1122,2,0,5,,,,,,,
1124,4,0,6,,,,,,,
1125,0,0,4,,,,,,,
1126,2,0,4,,,,,,,
1127,2,0,4,,,,,,,
1128,2,0,2,,,,,,,
1129,0,2,2,,,,,,,
1131,3,0,5,,,,,,,
1132,0,2,3,,,,,,,
1134,4,0,4,,,,,,,
1135,2,0,4,,,,,,,
1140,0,0,3,,,,,,,
1141,0,0,6,,,,,,,
1143,2,0,5,,,,,,,
1144,0,6,5,,,,,,,
1145,2,0,5,,,,,,,
1146,0,0,4,,,,,,,
1147,0,0,5,,,,,,,
1148,6,0,2,,,,,,,
1149,0,0,6,,,,,,,
1150,5,0,7,,,,,,,
1151,2,2,6,,,,,,,
1153,0,0,4,,,,,,,
1154,2,2,3,,,,,,,
1155,0,0,7,,,,,,,
1156,0,4,3,,,,,,,
1157,0,0,6,,,,,,,
1159,6,0,6,,,,,,,
1161,2,0,4,,,,,,,
1164,0,4,5,,,,,,,
1166,2,6,3,,,,,,,
1167,2,0,4,,,,,,,
1168,0,3,2,,,,,,,
1169,0,0,4,,,,,,,
1171,0,2,4,,,,,,,
1173,0,5,3,,,,,,,
1174,2,0,3,,,,,,,
1175,2,0,7,,,,,,,
1176,0,0,4,,,,,,,
1177,0,0,2,,,,,,,
1178,4,0,6,,,,,,,
1179,2,0,4,,,,,,,
1180,3,0,6,,,,,,,
1182,0,0,6,,,,,,,
1183,3,0,6,,,,,,,
1184,0,0,4,,,,,,,
1187,0,0,5,,,,,,,
1189,2,0,3,,,,,,,
1190,2,0,4,,,,,,,
1191,2,0,6,,,,,,,
1192,2,0,6,,,,,,,
1194,2,0,2,,,,,,,
1195,6,0,2,,,,,,,
1196,0,0,6,,,,,,,
1197,2,0,3,,,,,,,
1198,2,0,5,,,,,,,
1199,2,0,5,,,,,,,
1200,7,0,2,,,,,,,
3372,6,0,3,,,,,,,
3374,3,0,6,,,,,,,
3378,0,4,5,,,,,,,
3382,2,0,4,,,,,,,
3387,2,6,6,,,,,,,
3394,2,2,4,,,,,,,
3400,0,0,4,,,,,,,
3406,2,0,4,,,,,,,
3411,0,4,3,,,,,,,
3413,0,0,2,,,,,,,
3415,2,0,5,,,,,,,
3417,0,0,5,,,,,,,
3425,2,0,4,,,,,,,
3435,3,0,4,,,,,,,
3459,2,2,4,,,,,,,
